,toggle_id_user,toggle_fam_level,toggle_font,toggle_grayscale,toggle_stroke_contrast,toggle_weight,toggle_avg_ascender_length,toggle_avg_descender_length,toggle_avg_char_width_lower,toggle_lower_width_sd,toggle_lower_char_space,toggle_lower_x_height,pre_age,pre_reading_speed,pre_reading_frequency,outcome
94,3054,5,merriweather,0.3880417335473515,0.596,0.273,4.307,4.196,8.252,2.468,0.792,8.88,38,7,8,0
95,3070,4,times,0.4574468085106383,0.49,0.133,3.786,3.598,6.797,1.862,0.533,7.195,24,5,6,1
96,3070,4,arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,24,5,6,0
97,3070,3,roboto,0.4470649895178197,0.039,0.192,3.626,3.428,6.539,2.227,1.446,8.453,24,5,6,1
98,3070,3,open_sans,0.3865265169612996,0.11,0.172,3.66,3.961,6.826,2.347,1.552,8.563,24,5,6,0
99,3070,3,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703,24,5,6,0
100,3070,2,poppins,0.4358974358974359,0.158,0.172,3.184,4.3,7.46,2.791,1.528,8.768,24,5,6,0
101,3070,3,source_serif_pro,0.4411458333333333,0.266,0.134,4.32,4.02,7.444,2.074,0.705,7.6,24,5,6,0
102,3070,3,merriweather,0.3880417335473515,0.596,0.273,4.307,4.196,8.252,2.468,0.792,8.88,24,5,6,0
103,3062,2,times,0.4574468085106383,0.49,0.133,3.786,3.598,6.797,1.862,0.533,7.195,23,7,5,1
104,3062,5,arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,23,7,5,1
105,3062,3,roboto,0.4470649895178197,0.039,0.192,3.626,3.428,6.539,2.227,1.446,8.453,23,7,5,0
106,3062,4,open_sans,0.3865265169612996,0.11,0.172,3.66,3.961,6.826,2.347,1.552,8.563,23,7,5,0
107,3062,4,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703,23,7,5,0
108,3062,2,poppins,0.4358974358974359,0.158,0.172,3.184,4.3,7.46,2.791,1.528,8.768,23,7,5,0
109,3062,3,source_serif_pro,0.4411458333333333,0.266,0.134,4.32,4.02,7.444,2.074,0.705,7.6,23,7,5,0
110,3062,2,merriweather,0.3880417335473515,0.596,0.273,4.307,4.196,8.252,2.468,0.792,8.88,23,7,5,1
111,3071,5,times,0.4574468085106383,0.49,0.133,3.786,3.598,6.797,1.862,0.533,7.195,22,5,4,0
112,3071,4,arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,22,5,4,1
113,3071,2,roboto,0.4470649895178197,0.039,0.192,3.626,3.428,6.539,2.227,1.446,8.453,22,5,4,0
114,3071,1,open_sans,0.3865265169612996,0.11,0.172,3.66,3.961,6.826,2.347,1.552,8.563,22,5,4,1
115,3071,2,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703,22,5,4,1
116,3071,1,poppins,0.4358974358974359,0.158,0.172,3.184,4.3,7.46,2.791,1.528,8.768,22,5,4,1
117,3071,1,source_serif_pro,0.4411458333333333,0.266,0.134,4.32,4.02,7.444,2.074,0.705,7.6,22,5,4,1
118,3071,3,merriweather,0.3880417335473515,0.596,0.273,4.307,4.196,8.252,2.468,0.792,8.88,22,5,4,0
119,3048,5,times,0.4574468085106383,0.49,0.133,3.786,3.598,6.797,1.862,0.533,7.195,31,4,5,0
120,3048,2,arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,31,4,5,1
121,3048,1,roboto,0.4470649895178197,0.039,0.192,3.626,3.428,6.539,2.227,1.446,8.453,31,4,5,1
122,3048,3,open_sans,0.3865265169612996,0.11,0.172,3.66,3.961,6.826,2.347,1.552,8.563,31,4,5,0
123,3048,1,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703,31,4,5,1
124,3048,2,poppins,0.4358974358974359,0.158,0.172,3.184,4.3,7.46,2.791,1.528,8.768,31,4,5,1
125,3048,1,source_serif_pro,0.4411458333333333,0.266,0.134,4.32,4.02,7.444,2.074,0.705,7.6,31,4,5,1
126,3048,2,merriweather,0.3880417335473515,0.596,0.273,4.307,4.196,8.252,2.468,0.792,8.88,31,4,5,1
127,3079,2,times,0.4574468085106383,0.49,0.133,3.786,3.598,6.797,1.862,0.533,7.195,52,5,3,0
128,3079,2,arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,52,5,3,0
129,3079,1,roboto,0.4470649895178197,0.039,0.192,3.626,3.428,6.539,2.227,1.446,8.453,52,5,3,1
130,3079,1,open_sans,0.3865265169612996,0.11,0.172,3.66,3.961,6.826,2.347,1.552,8.563,52,5,3,1
131,3079,1,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703,52,5,3,0
132,3079,1,poppins,0.4358974358974359,0.158,0.172,3.184,4.3,7.46,2.791,1.528,8.768,52,5,3,0
133,3079,1,source_serif_pro,0.4411458333333333,0.266,0.134,4.32,4.02,7.444,2.074,0.705,7.6,52,5,3,0
134,3079,1,merriweather,0.3880417335473515,0.596,0.273,4.307,4.196,8.252,2.468,0.792,8.88,52,5,3,1
135,3085,4,times,0.4574468085106383,0.49,0.133,3.786,3.598,6.797,1.862,0.533,7.195,53,6,6,0
136,3085,4,arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,53,6,6,1
137,3085,4,roboto,0.4470649895178197,0.039,0.192,3.626,3.428,6.539,2.227,1.446,8.453,53,6,6,0
138,3085,4,open_sans,0.3865265169612996,0.11,0.172,3.66,3.961,6.826,2.347,1.552,8.563,53,6,6,0
139,3085,4,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703,53,6,6,1
140,3085,3,poppins,0.4358974358974359,0.158,0.172,3.184,4.3,7.46,2.791,1.528,8.768,53,6,6,0
141,3085,3,source_serif_pro,0.4411458333333333,0.266,0.134,4.32,4.02,7.444,2.074,0.705,7.6,53,6,6,0
142,3085,3,merriweather,0.3880417335473515,0.596,0.273,4.307,4.196,8.252,2.468,0.792,8.88,53,6,6,0
143,3087,2,times,0.4574468085106383,0.49,0.133,3.786,3.598,6.797,1.862,0.533,7.195,46,6,8,0
144,3087,4,arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,46,6,8,0
145,3087,1,roboto,0.4470649895178197,0.039,0.192,3.626,3.428,6.539,2.227,1.446,8.453,46,6,8,1
