in_users?,in_wpm?,id_user,font,id_passage,font fam,score,pass fam,pass int
1,2,258,times,24,3,1,1,2
0,2,259,times,19,3,1,3,2
0,0,259,times,27,3,1,1,1
1,0,261,times,26,3,0.5,1,2
1,2,261,times,28,3,1,1,4
1,2,264,times,20,3,1,2,4
1,2,264,times,27,3,1,1,1
1,2,264,times,28,3,0.5,1,1
1,2,265,times,19,3,1,2,2
1,2,265,times,21,3,0.5,2,3
1,2,265,times,25,3,1,2,3
1,2,265,times,27,3,1,1,2
1,2,267,times,25,3,1,1,4
1,2,267,times,28,3,1,1,4
1,2,268,times,22,3,1,2,3
1,2,268,times,26,3,1,1,3
1,2,270,times,20,3,1,5,5
1,2,270,times,25,3,1,5,5
1,2,271,times,19,2,1,3,2
1,2,271,times,27,2,1,1,1
1,2,272,times,21,3,1,2,3
1,2,272,times,24,3,1,2,3
1,2,273,times,21,2,0.5,1,3
1,2,273,times,24,2,1,1,3
1,2,275,times,20,3,1,3,2
1,2,275,times,27,3,1,1,1
1,1,276,times,19,3,1,2,4
1,2,276,times,21,3,1,3,4
1,2,277,times,21,2,1,2,3
1,2,277,times,26,2,1,1,2
0,2,278,times,27,2,1,1,3
0,0,278,times,28,2,1,1,3
1,0,279,times,20,3,1,3,5
1,2,279,times,27,3,1,1,2
1,2,281,times,25,3,1,1,4
1,2,281,times,26,3,1,1,3
1,2,282,times,24,3,0.5,1,1
1,2,282,times,26,3,1,1,2
0,2,283,times,21,2,0,1,2
0,0,283,times,27,2,1,1,2
1,0,287,times,21,3,1,3,3
1,2,287,times,22,3,1,3,3
1,2,289,times,20,1,0.5,2,2
1,2,289,times,21,1,1,1,3
1,2,291,times,22,3,1,2,3
1,2,291,times,25,3,1,2,3
1,2,291,times,27,3,1,1,2
1,2,292,times,24,3,0.5,1,1
1,2,292,times,28,3,1,1,4
1,2,293,times,22,2,1,2,3
1,2,293,times,24,2,0.5,2,3
1,2,293,times,26,2,1,1,4
1,2,294,times,22,2,1,3,4
1,2,294,times,28,2,1,1,4
1,1,295,times,20,2,0.5,3,4
1,2,295,times,27,2,1,2,2
1,2,297,times,21,2,1,1,1
1,2,297,times,24,2,1,1,2
1,2,297,times,26,2,1,1,4
0,2,298,times,19,3,1,2,3
0,0,298,times,24,3,1,1,4
1,0,299,times,19,3,1,2,3
