id_user,font,elo,font_rank
3713,arial,1507.7378535778394,3
3731,arial,1620.0357489195044,2
3748,arial,1516.2055634796145,5
3739,arial,1560.7488566304885,3
3745,arial,1467.4031979835781,6
3749,arial,1488.6353137941583,4
3761,arial,1451.5248729125212,5
3732,arial,1574.2873223112729,3
3762,arial,1574.9463232667742,2
3744,arial,1541.0282342757882,4
3774,arial,1526.3821551810363,4
3769,arial,1461.4488379082477,6
3736,arial,1439.5875989019733,8
3771,arial,1493.712901340993,4
3747,arial,1451.8939681660145,5
3738,arial,1407.9203754470232,7
3756,arial,1453.2471000580606,6
3775,arial,1400.880974624706,8
3750,arial,1396.1636229109677,8
3746,arial,1377.2954208370452,8
3777,arial,1399.9293632318595,6
3768,arial,1410.741806048925,8
3755,arial,1480.3118453946843,5
3780,arial,1502.3541891817852,4
3741,arial,1579.6694436019707,2
3795,arial,1509.6865669722786,4
3799,arial,1485.5771083320187,5
3791,arial,1556.8954849565014,3
3727,arial,1504.2616544676432,4
3735,arial,1638.0946315968179,1
3806,arial,1566.074087212755,4
3803,arial,1529.8695186641387,5
3772,arial,1524.7526256693138,3
3808,arial,1505.9021341098116,4
3810,arial,1475.3981034296655,6
3804,arial,1479.0583421154745,4
3773,arial,1399.7122699619808,8
3814,arial,1477.2374142414908,6
3767,arial,1577.130187088225,1
3822,arial,1503.8693362028243,4
3817,arial,1481.3596725724087,4
3778,arial,1494.6830004644778,5
3827,arial,1473.186628463364,5
3823,arial,1547.4080122976975,3
3836,arial,1501.810234422232,4
3844,arial,1525.330140238052,3
3838,arial,1460.3883246993198,6
3831,arial,1446.2152058211734,7
3833,arial,1440.985512854653,8
3842,arial,1651.8717441344602,1
3819,arial,1520.1678724728008,3
3846,arial,1546.095085669836,3
3841,arial,1464.7903077764304,5
3854,arial,1546.3791230517504,3
3848,arial,1551.5657699777746,4
3843,arial,1464.9337913339677,7
3851,arial,1480.632513862722,5
505,arial,1414.6235206028095,8
3856,arial,1494.5099619536002,5
3834,arial,1575.2711881019136,2
3850,arial,1480.6291922649168,5
3862,arial,1499.470328722398,3
3860,arial,1623.2909143577392,1
3864,arial,1541.5487634296244,4
3857,arial,1541.159170462175,2
3867,arial,1470.4641126695783,6
3869,arial,1449.0092087787484,7
3855,arial,1439.3157226558628,8
3872,arial,1441.2157702050479,7
3853,arial,1498.555043817756,5
3873,arial,1555.9902351402716,3
3876,arial,1526.0332436340652,4
3870,arial,1498.117401451501,4
3871,arial,1556.6376234618228,3
3880,arial,1585.9630713178387,3
3881,arial,1496.6353366720684,5
3740,arial,1404.9468099103908,6
3878,arial,1439.2830917142833,6
3877,arial,1424.4502273109601,5
3888,arial,1394.8179821595588,5
3887,arial,1387.8137622115557,6
3886,arial,1430.9484337061806,6
3884,arial,1374.841332265214,7
3893,arial,1467.3520912559825,5
3891,arial,1439.3001442162729,5
3890,arial,1461.408929974697,6
3845,arial,1542.6738879622033,3
3861,arial,1522.6005320812271,3
3776,arial,1483.007402546431,4
3905,arial,1513.5729892800439,3
3901,arial,1442.299328137104,7
3904,arial,1425.7617903633889,7
3906,arial,1434.896150902137,6
3818,arial,1488.9949812552377,5
3835,arial,1460.6958628579748,7
3903,arial,1506.6712257314264,4
3896,arial,1522.5537629237567,3
3910,arial,1480.5696870751901,5
3909,arial,1440.685312960903,6
3911,arial,1419.0111479051193,7
3916,arial,1441.1390032972008,6
3918,arial,1475.9282712538159,6
3915,arial,1445.0250462005404,7
3922,arial,1426.2572403647641,7
3923,arial,1578.0631631914703,2
3940,arial,1595.3987791895192,2
3958,arial,1575.962375535199,2
3976,arial,1513.653794969847,4
3978,arial,1483.8146265322569,5
3962,arial,1462.2700109020188,6
3991,arial,1510.763998919533,3
3995,arial,1498.3730197564978,5
3993,arial,1561.7286768740469,3
3997,arial,1541.1741470695938,3
3970,arial,1474.353765359238,5
3959,arial,1512.2571189464209,5
4011,arial,1526.474076607454,5
4013,arial,1712.4606056627085,1
4015,arial,1638.2025087906416,1
4012,arial,1551.720035262977,3
4014,arial,1504.8710213482332,4
4022,arial,1553.362500259977,3
4026,arial,1552.1219183675726,3
4027,arial,1534.669726901136,2
4034,arial,1562.3143523743317,3
4035,arial,1660.2424574235329,1
4043,arial,1591.0314373954739,1
4054,arial,1669.3417340162616,1
4051,arial,1616.6553802917736,3
4055,arial,1681.6681451079667,1
4063,arial,1711.694995814031,1
4056,arial,1655.9732454050638,1
4064,arial,1645.888226320525,2
4065,arial,1634.4350466305928,1
4067,arial,1754.8416819388847,1
4070,arial,1688.109376285917,2
4072,arial,1603.0805551725377,3
4066,arial,1588.2144148001632,3
4077,arial,1582.0603881416537,2
4078,arial,1547.808197407349,3
4082,arial,1518.1658629000287,4
4083,arial,1451.3944430930592,6
4076,arial,1422.1540216352514,7
4090,arial,1437.254824041002,7
4092,arial,1490.6414273392952,6
4094,arial,1549.844776443236,3
4096,arial,1590.3877922840957,1
4097,arial,1553.4666939169408,2
4095,arial,1510.9127878401405,4
4100,arial,1479.4189166454146,5
4099,arial,1532.1424552767198,4
4111,arial,1594.8228901917214,2
2,georgia,1558.97160222739,2
2971,georgia,1474.727905204513,5
2974,georgia,1380.6769999489072,7
2975,georgia,1465.4701129249643,5
2972,georgia,1395.7608967471247,6
2978,georgia,1398.3791956660543,8
2982,georgia,1509.6020747071393,4
2987,georgia,1462.736388988538,5
2994,georgia,1468.8438630288085,5
2996,georgia,1407.3663019898377,7
