,url,font,file_name
18,https://readability-test.org/fonts_spacing_study.html?8?times?16px?1pt?1pt?1.5em?480px,times,-1133291427405805283
19,https://readability-test.org/fonts_spacing_study.html?-1?arial?14.926044px?1pt?1pt?1.5em?480px,arial,882736418944991560
20,https://readability-test.org/fonts_spacing_study.html?0?calibri?16px?1pt?1pt?1.5em?480px,calibri,-8909561219554613913
21,https://readability-test.org/fonts_spacing_study.html?1?avenir_next?15.045914px?1pt?1pt?1.5em?480px,avenir_next,-2956213517229388012
22,https://readability-test.org/fonts_spacing_study.html?3?helvetica?14.936339px?1pt?1pt?1.5em?480px,helvetica,-168822302721551757
23,https://readability-test.org/fonts_spacing_study.html?4?arial?14.926044px?1pt?1pt?1.5em?480px,arial,-6997058238308745799
24,https://readability-test.org/fonts_spacing_study.html?6?calibri?16px?1pt?1pt?1.5em?480px,calibri,-5825619221569656182
25,https://readability-test.org/fonts_spacing_study.html?7?times?16px?1pt?1pt?1.5em?480px,times,-3703305404512685363
26,https://readability-test.org/fonts_spacing_study.html?8?avenir_next?15.045914px?1pt?1pt?1.5em?480px,avenir_next,3603251296546433434
27,https://readability-test.org/fonts_spacing_study.html?-1?avenir_next?15.045914px?1pt?1pt?1.5em?480px,avenir_next,1353854727953585534
28,https://readability-test.org/fonts_spacing_study.html?-1?poynter_gothic_text?14.845362px?1pt?1pt?1.5em?480px,poynter_gothic_text,1527488018490972709
29,https://readability-test.org/fonts_spacing_study.html?-1?utopia?15.250897px?1pt?1pt?1.5em?480px,utopia,-3420997069046714379
30,https://readability-test.org/fonts_spacing_study.html?-1?noto_sans?14.507869px?1pt?1pt?1.5em?480px,noto_sans,-3780009678738366160
31,https://readability-test.org/fonts_spacing_study.html?0?franklin_gothic?16px?1pt?1pt?1.5em?480px,franklin_gothic,2902798427633294719
32,https://readability-test.org/fonts_spacing_study.html?2?arial?14.926044px?1pt?1pt?1.5em?480px,arial,-8657256158341048417
33,https://readability-test.org/fonts_spacing_study.html?3?utopia?15.250897px?1pt?1pt?1.5em?480px,utopia,4743059101267732730
34,https://readability-test.org/fonts_spacing_study.html?5?oswald?16px?1pt?1pt?1.5em?480px,oswald,-6678560904230547879
35,https://readability-test.org/fonts_spacing_study.html?6?noto_sans?14.507869px?1pt?1pt?1.5em?480px,noto_sans,-640238505196657971
36,https://readability-test.org/fonts_spacing_study.html?7?lato?14.910544px?1pt?1pt?1.5em?480px,lato,3069789495883731864
37,https://readability-test.org/fonts_spacing_study.html?8?avantgarde?14.29299px?1pt?1pt?1.5em?480px,avantgarde,-5496487428845606884
38,https://readability-test.org/fonts_spacing_study.html?2?times?16px?1pt?1pt?1.5em?480px,times,-6222526247608436118
39,https://readability-test.org/fonts_spacing_study.html?3?calibri?16px?1pt?1pt?1.5em?480px,calibri,-6117729818276302546
40,https://readability-test.org/fonts_spacing_study.html?4?poynter_gothic_text?14.845362px?1pt?1pt?1.5em?480px,poynter_gothic_text,-4329732582491517531
41,https://readability-test.org/fonts_spacing_study.html?5?montserrat?13.688213px?1pt?1pt?1.5em?480px,montserrat,-202093556433979146
42,https://readability-test.org/fonts_spacing_study.html?6?arial?14.926044px?1pt?1pt?1.5em?480px,arial,-8121737133848160286
43,https://readability-test.org/fonts_spacing_study.html?7?helvetica?14.936339px?1pt?1pt?1.5em?480px,helvetica,8128760525020675765
44,https://readability-test.org/fonts_spacing_study.html?8?open_sans?14.516127px?1pt?1pt?1.5em?480px,open_sans,4330329443545183945
45,https://readability-test.org/fonts_spacing_study.html?0?times?16px?1pt?1pt?1.5em?480px,times,-4022102370269038294
46,https://readability-test.org/fonts_spacing_study.html?1?calibri?16px?1pt?1pt?1.5em?480px,calibri,3724873927066918219
47,https://readability-test.org/fonts_spacing_study.html?3?garamond?16.418425px?1pt?1pt?1.5em?480px,garamond,-4631229993033752029
48,https://readability-test.org/fonts_spacing_study.html?4?times?16px?1pt?1pt?1.5em?480px,times,-3761065465702099743
49,https://readability-test.org/fonts_spacing_study.html?5?utopia?15.250897px?1pt?1pt?1.5em?480px,utopia,-4653592020928536154
50,https://readability-test.org/fonts_spacing_study.html?6?times?16px?1pt?1pt?1.5em?480px,times,-4485118602733401815
51,https://readability-test.org/fonts_spacing_study.html?-1?times?16px?1pt?1pt?1.5em?480px,times,-533765613253219909
52,https://readability-test.org/fonts_spacing_study.html?-1?garamond?16.418425px?1pt?1pt?1.5em?480px,garamond,-36142030575133851
53,https://readability-test.org/fonts_spacing_study.html?-1?lato?14.910544px?1pt?1pt?1.5em?480px,lato,4039496297331613974
54,https://readability-test.org/fonts_spacing_study.html?0?avenir_next?15.045914px?1pt?1pt?1.5em?480px,avenir_next,6111603235585370487
55,https://readability-test.org/fonts_spacing_study.html?1?lato?14.910544px?1pt?1pt?1.5em?480px,lato,-907668300379828353
56,https://readability-test.org/fonts_spacing_study.html?-1?calibri?16px?1pt?1pt?1.5em?480px,calibri,-6196376457504592372
57,https://readability-test.org/fonts_spacing_study.html?2?roboto?14.801447px?1pt?1pt?1.5em?480px,roboto,7471842640275953201
58,https://readability-test.org/fonts_spacing_study.html?3?arial?14.926044px?1pt?1pt?1.5em?480px,arial,3481221809483562056
